HDI Rank (2017);Country;Alpha_3;2010;2011;2012;2013;2014;2015;2016;2017
168;Afghanistan;AFG;;;;30;30;30,4;28,2;28,2
68;Albania;ALB;12,7;13,8;13,8;13,4;13,4;13,4;12,2;10
147;Angola;AGO;38,8;;43,6;43,6;36,6;36,6;32,3;32,3
47;Argentina;ARG;19;18,7;18,7;15,3;14,6;15,2;14;13,9
83;Armenia;ARM;10,9;10,7;10,8;10,2;10,1;9,2;8,6;9,8
3;Australia;AUS;7,7;7,7;7,7;7,5;7,9;8;8,3;8
20;Austria;AUT;7,3;7,2;6,5;7,1;7,6;8,5;7,4;7,8
80;Azerbaijan;AZE;13,4;11,1;11,1;11,5;13;12,9;10;9,9
136;Bangladesh;BGD;28,3;26,8;26,8;28,7;29;28,5;27,6;23,4
53;Belarus;BLR;9,3;8,3;8,3;7,6;7,1;6,4;6,5;6,5
17;Belgium;BEL;8,3;7,5;8;8,5;7,9;8,3;8,8;8,7
106;Belize;BLZ;;;;;21,7;21,8;21,3;21,3
163;Benin;BEN;34,3;35,3;35,3;34,2;37,1;37,1;36,4;36,3
134;Bhutan;BTN;;;19,8;20,2;28,9;28,4;27,4;26,4
118;Bolivia (Plurinational State of);BOL;36,7;33,3;33,4;29,4;28,4;28,8;26,4;25,7
77;Bosnia and Herzegovina;BIH;19,9;11,4;11,3;10,4;13,1;13,1;12,8;15,3
101;Botswana;BWA;;;;36,5;36,5;36,2;35,4;
79;Brazil;BRA;26,6;26,9;26,5;26,3;25,6;25;23,6;23,2
51;Bulgaria;BGR;11,2;11,2;9,8;10,8;10,4;10,5;11,8;12,3
183;Burkina Faso;BFA;35,7;34,8;33,8;34,6;34,6;33,3;30,6;31,8
185;Burundi;BDI;;;;32,6;31,5;30,6;29,7;32,8
125;Cabo Verde;CPV;;;;19,4;19,4;19,9;21,4;
146;Cambodia;KHM;28,6;27,1;25,8;24,6;24,6;22,4;19,2;19,2
151;Cameroon;CMR;33,2;32,7;32,7;32,4;32,4;32,4;30,5;34,2
12;Canada;CAN;8,4;8,4;8,4;7,5;8,6;8,7;7,9;7,7
188;Central African Republic (the);CAF;41,3;40;40;39,9;43,1;43,1;41,8;41,8
186;Chad;TCD;37,7;38,8;38,8;36,8;39,6;39,6;37,9;37,9
44;Chile;CHL;18,1;18,1;18,1;18,5;18,2;17,1;15,7;14,9
90;Colombia;COL;27,5;30,1;26,6;25,7;24,1;23,7;22,6;22,9
165;Comoros (the);COM;;;;;45,9;44,8;44,2;44,2
137;Congo (the);COG;31,3;30,9;30,9;30,6;26,2;24,6;22,6;22,6
176;Congo (the Democratic Republic of the);COD;34,7;39,3;39,3;36,8;35,3;31,7;30,7;30,2
63;Costa Rica;CRI;19,9;19,7;20,5;19,1;19;18,2;17,8;17,3
46;Croatia;HRV;14,7;14,6;14,6;11,1;8,9;8,9;8,9;8,8
32;Cyprus;CYP;11,5;10;11,3;10,9;10,6;10,8;13;11,3
27;Czechia;CZE;5,9;4,9;5,3;5,5;5,4;5,3;5,4;5,2
170;Cï¿½te d'Ivoire;CIV;35,3;38,5;38,5;37,9;37,6;37,4;35,6;36,3
11;Denmark;DNK;6,4;5,9;6,2;6,8;7,1;7;7,7;7,4
94;Dominican Republic (the);DOM;24,6;25,5;26,8;23,4;23,4;21,6;22;20,9
86;Ecuador;ECU;20,1;25;25;22,4;21,8;20,2;20;19,4
115;Egypt;EGY;26,4;23;23;22,8;22,8;28,3;28,3;28,3
121;El Salvador;SLV;27,2;26,2;26,2;26,2;26,2;22;22,3;21,9
30;Estonia;EST;9,6;7,7;8,8;8,5;8,9;8,6;9,4;8,5
144;Eswatini;SWZ;35,7;35,2;35,2;33,1;33,1;33,1;29,4;29,4
173;Ethiopia;ETH;33,7;31,5;31,5;28;28;25,5;23,6;27,3
15;Finland;FIN;7,4;5,5;5,9;5,5;5,5;5,7;8,4;5,5
24;France;FRA;9,2;9,1;9;8,9;8,6;9,3;12,1;10,1
110;Gabon;GAB;20,4;19,1;19,1;24;24;23,8;22,3;22,3
70;Georgia;GEO;16,6;13,7;14,8;14;13,2;12,2;11,5;12
5;Germany;DEU;7,8;6,8;6,8;7;6,7;7;8,3;7,8
140;Ghana;GHA;24,2;31,9;31,9;31,2;33,1;32,5;28,8;28,8
31;Greece;GRC;9,9;12,1;11,4;10,5;12,1;12,1;12,9;13,1
127;Guatemala;GTM;33;31,1;32,4;32;28,9;29,1;28,3;27,7
175;Guinea;GIN;38;38,6;38,6;37,8;35,2;33,6;32,2;32,2
177;Guinea-Bissau;GNB;41,8;41;41;39,4;39,4;39,1;39,4;39,4
125;Guyana;GUY;18,4;21,8;18,9;18;18;18,5;18,4;18,4
168;Haiti;HTI;40,5;39,8;39,8;38,9;38,2;39,2;38,4;38,4
133;Honduras;HND;30,1;30,9;27,1;31,1;30,7;28,5;25,8;25,2
45;Hungary;HUN;8,5;7;7,3;7,3;7,1;7,6;7,7;7,7
6;Iceland;ISL;6,5;5,8;6,2;5,6;5,8;5,7;5,9;5,9
130;India;IND;28,9;27,5;28,4;27,7;27,7;26,5;27,2;26,3
116;Indonesia;IDN;17,7;18,3;18,3;19,1;18,2;18,2;17,6;18,7
120;Iraq;IRQ;;;;21,2;21,4;22;21,1;20,2
4;Ireland;IRL;8,9;7,1;7,1;7,4;8,5;7,7;8,6;8,6
22;Israel;ISR;12,1;11,8;11,8;10,4;12,9;12,9;12,7;12,2
28;Italy;ITA;11,8;10,7;11,7;11,6;11,3;11,2;12,3;11,9
97;Jamaica;JAM;16,4;15,9;18,7;18,6;16,9;15,9;16,2;16,2
19;Japan;JPN;;;;12,2;12,2;12,2;12,1;3,6
95;Jordan;JOR;19;18,9;18,9;18,5;16,4;16,4;16;16
58;Kazakhstan;KAZ;13,4;11,8;13,5;11,8;11,8;10,1;7,9;7,9
142;Kenya;KEN;31,7;33,6;33,6;32,7;31,2;29,4;26,3;26,3
134;Kiribati;KIR;;;;30,1;30,1;32;31,4;
22;Korea (the Republic of);KOR;16,2;16,1;16,1;16,8;15,9;15,9;14;14
122;Kyrgyzstan;KGZ;15;14,4;16,8;16,9;14,2;12,1;9,8;9,8
139;Lao People's Democratic Republic (the);LAO;24,5;22,6;24,5;24,1;25,3;26,9;25,8;25,8
41;Latvia;LVA;10,8;10,6;10,5;10,3;10,5;10,3;10,1;10,1
80;Lebanon;LBN;;22,5;22,5;20,3;20,3;20,4;;
159;Lesotho;LSO;33,7;35,2;35,2;34,9;34,9;34,9;30,5;30,5
181;Liberia;LBR;36,2;34,3;34,3;32,8;34,1;32,9;31;31
35;Lithuania;LTU;11,2;9,6;10,8;10,4;10;10,2;10,3;11,3
21;Luxembourg;LUX;8,9;7,7;7,1;7,5;7,7;7,8;9,7;10,1
161;Madagascar;MDG;28,8;30,6;30,6;30,3;26,7;26,8;25,6;25,6
171;Malawi;MWI;31,6;31,4;31,1;31,6;32,6;31,2;30,4;30,4
101;Maldives;MDV;15,5;23,9;23,9;24,2;23,8;23,4;22,9;22
182;Mali;MLI;;;;;34,4;32,7;31,5;32,8
29;Malta;MLT;;;8,1;8,2;8,5;8;8,1;8,2
159;Mauritania;MRT;34,5;33,6;34;34,6;32,9;31,9;32,7;32,7
65;Mauritius;MUS;;13,3;13,3;14,1;14,1;14,3;14;13,4
74;Mexico;MEX;20,6;22,8;22,8;22,3;21,7;22,4;21,2;20,8
112;Moldova (the Republic of);MDA;13,3;12,1;11,4;12;10,8;10,1;10,3;10,3
92;Mongolia;MNG;14,9;13,7;15,8;11,4;12,8;12,9;13,7;13,7
50;Montenegro;MNE;9,8;6,9;7,3;7,1;9,2;8,7;8,5;8,8
123;Morocco;MAR;27,2;28,5;28,5;28,5;28,5;28,3;;
180;Mozambique;MOZ;44;28,3;32;28,9;34,1;32,9;32,6;32,6
129;Namibia;NAM;40,2;39,1;39,1;39,3;39,3;33,4;32,9;32,9
149;Nepal;NPL;31,3;33,5;33,5;27,8;25,9;25,8;24,8;24,6
10;Netherlands (the);NLD;8;6,9;6,8;6,6;6,5;6,8;7,3;7,8
124;Nicaragua;NIC;24,2;26,9;26,9;25,8;23,7;25,4;23,6;22,6
189;Niger (the);NER;33,1;33,3;33,3;31,8;28,4;27,5;27,4;28,8
157;Nigeria;NGA;40,7;38,9;41,2;40,2;37,5;37,5;36,6;34,6
1;Norway;NOR;6,5;5,5;6,2;5,5;5,3;5,4;7,4;7,9
150;Pakistan;PAK;30;29,9;29,5;28,7;28,6;29,6;29;29,6
119;Palestine, State of;PSE;;;;11,7;14,9;15,1;14,7;14,9
66;Panama;PAN;25,4;23,6;23,6;21,4;21,7;21;20;20,2
110;Paraguay;PRY;24,4;23,7;;23,7;21,8;23,5;21,9;24,8
89;Peru;PER;29,8;22,9;24;23,4;23;21,4;19,6;18,9
113;Philippines (the);PHL;18,6;19,6;19,6;18;17,9;18,2;17,6;17,6
33;Poland;POL;10,6;9,6;9,7;9,7;9,6;9,3;9,3;8,8
41;Portugal;PRT;11,5;9,9;10,4;9,8;10;10,1;13,6;13,2
52;Romania;ROU;12,1;12,3;12,3;10,4;10,2;10,8;11,4;11,4
49;Russian Federation (the);RUS;11,5;11,3;;11,6;10,3;9,6;9,3;9,3
158;Rwanda;RWA;36,5;35,5;33,6;33,1;31,6;31,8;29,8;29,8
90;Saint Lucia;LCA;;;;;15,5;15,6;15,2;16,3
143;Sao Tome and Principe;STP;;30,7;31;30,4;24,7;24,7;19,7;19,7
164;Senegal;SEN;35,3;33,2;32,3;32,3;34;32,5;31,1;31,7
67;Serbia;SRB;10,8;9,5;9,5;10,9;10;11,1;14,4;14,6
184;Sierra Leone;SLE;38,3;41,2;41,2;43,6;40;36,6;35,4;35,4
38;Slovakia;SVK;6,6;5,6;6,2;6,2;6,1;6;6,8;6,7
25;Slovenia;SVN;6,8;5,2;5,8;5,7;5,8;5,8;5,5;5,5
113;South Africa;ZAF;;;;;33;32;30,3;30,3
26;Spain;ESP;9,5;8,8;9,8;10,5;11;10,1;15,2;14,9
76;Sri Lanka;LKA;17;16;14,9;14,2;11,6;11,5;11,2;13,6
100;Suriname;SUR;23,9;23,3;22,6;23,5;23,3;23,3;21,6;21,8
7;Sweden;SWE;6,8;5,8;6,1;6,4;6,6;6,6;6,9;7,2
2;Switzerland;CHE;6,9;6,8;6,8;7,6;7,3;8,4;7,5;7,5
127;Tajikistan;TJK;18,6;17,3;18,1;18,8;16,9;14,9;13,9;13,4
154;Tanzania, United Republic of;TZA;27,9;28,6;27,2;26,9;27,2;25,4;24,9;24,8
83;Thailand;THA;20,5;20,7;20,7;20;20;20,2;16,6;15,5
80;Macedonia (the former Yugoslav Republic of);MKD;16,6;16,2;14,5;13,3;16,1;16,1;15,7;12,4
132;Timor-Leste;TLS;32,6;31,8;31,9;29,4;29,4;30;28,7;26,4
165;Togo;TGO;32,3;32,9;32,9;32,6;33,1;31,6;30,9;31,5
69;Trinidad and Tobago;TTO;15,3;15;15;15;15;15,1;14,7;
95;Tunisia;TUN;24,4;24,4;;;21,4;21,9;21,4;21,4
64;Turkey;TUR;23,5;22,2;22,2;15,6;15,7;15,8;15,2;15,3
162;Uganda;UGA;31,8;33,5;33,5;30,8;30,2;30,8;29,7;28,2
88;Ukraine;UKR;8,1;9,2;9,2;9,1;7,7;7,2;6,7;6,5
14;United Kingdom of Great Britain and Northern Ireland (the);GBR;9,3;8,1;8,1;8,6;8,4;7,8;10,3;9,1
13;United States of America (the);USA;10,9;14,2;12;16,2;15,7;12,9;12,7;13,1
55;Uruguay;URY;15,7;16;16;15,7;14,2;15,4;14,3;13,9
105;Uzbekistan;UZB;15,1;14,5;15,3;15,3;15,3;15,3;12,8;
138;Vanuatu;VUT;;;;;17,1;17,2;16,7;17,1
78;Venezuela (Bolivarian Republic of);VEN;20,8;25,1;25,1;19,4;19,4;19,1;17,8;16,2
116;Viet Nam;VNM;16,4;14;14;14,9;17,4;17,7;17,3;17,3
178;Yemen;YEM;32,9;30,8;30,8;31,7;33;32,7;30,5;30,9
144;Zambia;ZMB;30,5;28,8;36,1;34,5;33,8;34,7;33;33
156;Zimbabwe;ZWE;29,6;28,4;28,1;26,8;26,7;28,1;23,5;23,5
